experiment,split_type,threshold,test_rows,retained_rows,rejected_rows,coverage_rate,abstention_rate,retained_accuracy,rejected_accuracy,retained_macro_f1,retained_errors,rejected_errors,all_errors,error_capture_rate,selective_risk,class_coverage_Allow,class_errors_Allow,class_coverage_Deny,class_errors_Deny,class_coverage_Drop,class_errors_Drop
random_core_all,random_train_cal_test,0.5,209716,209716,0,1.0,0.0,0.9999856949398234,,0.9998158973426351,3,0,3,0.0,1.4305060176633688e-05,1.0,2,1.0,1,1.0,0
random_core_all,random_train_cal_test,0.7,209716,209716,0,1.0,0.0,0.9999856949398234,,0.9998158973426351,3,0,3,0.0,1.4305060176633688e-05,1.0,2,1.0,1,1.0,0
random_core_all,random_train_cal_test,0.8,209716,209715,1,0.9999952316466078,4.768353392248237e-06,0.999990463247741,0.0,0.9998772430451254,2,1,3,0.3333333333333333,9.536752259009518e-06,1.0,2,0.999637943519189,0,1.0,0
random_core_all,random_train_cal_test,0.9,209716,209715,1,0.9999952316466078,4.768353392248237e-06,0.999990463247741,0.0,0.9998772430451254,2,1,3,0.3333333333333333,9.536752259009518e-06,1.0,2,0.999637943519189,0,1.0,0
random_core_all,random_train_cal_test,0.95,209716,209715,1,0.9999952316466078,4.768353392248237e-06,0.999990463247741,0.0,0.9998772430451254,2,1,3,0.3333333333333333,9.536752259009518e-06,1.0,2,0.999637943519189,0,1.0,0
random_core_all,random_train_cal_test,0.99,209716,209714,2,0.9999904632932156,9.536706784385451e-06,0.9999904632022659,0.5,0.9998772430322526,2,1,3,0.3333333333333333,9.536797734077673e-06,0.9999937856548056,2,0.999637943519189,0,1.0,0
random_core_all,random_train_cal_test,0.999,209716,209703,13,0.9999380114059013,6.198859409867197e-05,0.999995231351006,0.8461538461538461,0.9999384132390438,1,2,3,0.6666666666666666,4.768648994013525e-06,0.9999813569644167,1,0.99637943519189,0,1.0,0
random_core_all,random_train_cal_test,0.9999,209716,209674,42,0.9997997291575274,0.0002002708424726496,0.9999952306914544,0.9523809523809523,0.9999378805976086,1,2,3,0.6666666666666666,4.769308545649054e-06,0.9999502852384444,1,0.9876900796524257,0,1.0,0
random_without_application_context,random_train_cal_test,0.5,209716,209716,0,1.0,0.0,0.9999570848194701,,0.9996177610251419,9,0,9,0.0,4.2915180529901065e-05,1.0,5,1.0,3,1.0,1
random_without_application_context,random_train_cal_test,0.7,209716,209714,2,0.9999904632932156,9.536706784385451e-06,0.9999618528090638,0.5,0.9996790847935279,8,1,9,0.1111111111111111,3.814719093619967e-05,0.9999875713096111,4,1.0,3,1.0,1
