experiment,split_type,train_rows,calibration_rows,test_rows,features,fit_seconds,test_accuracy,test_macro_f1,test_errors,mean_confidence,mean_nonconformity_cal,feature_view,train_time_min,train_time_max,calibration_time_min,calibration_time_max,test_time_min,test_time_max,grouping_columns,train_cal_groups,test_groups,group_overlap
random_core_all,random_train_cal_test,629145,209715,209716,24,45.16104479995556,0.9999856949398234,0.9998158973426351,3,0.9999986124185501,2.237977193884776e-05,core_all,,,,,,,,,,
random_without_application_context,random_train_cal_test,629145,209715,209716,19,29.439634899958037,0.9999570848194701,0.9996177610251419,9,0.9999949293076763,7.299395035565218e-05,without_application_context,,,,,,,,,,
random_without_volume_duration,random_train_cal_test,629145,209715,209716,17,20.64919819997158,0.9996900570295065,0.9960420837277645,65,0.9996443964994735,0.0006494392344926326,without_volume_duration,,,,,,,,,,
random_without_application_and_volume,random_train_cal_test,629145,209715,209716,12,19.952543399995193,0.993929886131721,0.9358882209826903,1273,0.9965105696936964,0.006752144850740638,without_application_and_volume,,,,,,,,,,
random_transport_volume_only,random_train_cal_test,629145,209715,209716,10,26.22625429998152,0.9943495012302351,0.9827579725140524,1185,0.9963517377905245,0.006899445305667552,transport_volume_only,,,,,,,,,,
random_only_application_context,random_train_cal_test,629145,209715,209716,5,14.71474299998954,0.9886465505731561,0.9418291168733122,2381,0.927760982281375,0.07742953508840197,only_application_context,,,,,,,,,,
random_only_volume_duration,random_train_cal_test,629145,209715,209716,7,19.042016199906357,0.9840021743691468,0.9227518495834385,3355,0.9871730195352328,0.021757546630117235,only_volume_duration,,,,,,,,,,
random_only_zone_interface,random_train_cal_test,629145,209715,209716,4,11.208658799994737,0.8544984645902077,0.6822523146222667,30514,0.965897889756732,0.12478396169137536,only_zone_interface,,,,,,,,,,
temporal_core_all,temporal_train_cal_test,629145,209715,209716,24,33.5851695999736,0.9999666215262546,0.9995327927053209,7,0.9999989454709657,3.3582409415473743e-05,core_all,2026-05-14T19:18:16.047000+03:00,2026-05-14T19:46:37.070000+03:00,2026-05-14T19:46:37.070000+03:00,2026-05-14T19:55:59.138000+03:00,2026-05-14T19:55:59.139000+03:00,2026-05-14T20:04:50.373000+03:00,,,,
temporal_without_volume_duration,temporal_train_cal_test,629145,209715,209716,17,20.135416400036775,0.9992895153445612,0.9900474414217625,149,0.9998761682990399,0.0008155127677976854,without_volume_duration,2026-05-14T19:18:16.047000+03:00,2026-05-14T19:46:37.070000+03:00,2026-05-14T19:46:37.070000+03:00,2026-05-14T19:55:59.138000+03:00,2026-05-14T19:55:59.139000+03:00,2026-05-14T20:04:50.373000+03:00,,,,
temporal_transport_volume_only,temporal_train_cal_test,629145,209715,209716,10,26.667729199980386,0.9944114898243339,0.9775514983323919,1172,0.9966523520555534,0.009022401497581092,transport_volume_only,2026-05-14T19:18:16.047000+03:00,2026-05-14T19:46:37.070000+03:00,2026-05-14T19:46:37.070000+03:00,2026-05-14T19:55:59.138000+03:00,2026-05-14T19:55:59.139000+03:00,2026-05-14T20:04:50.373000+03:00,,,,
context_application_category_heldout,in_domain_calibration_context_holdout_test,638486,212829,197261,24,36.02519700000994,0.9712867723472962,0.6725480129323816,5664,0.9983781852753517,1.1872968221559538e-05,,,,,,,,Application|Category,273.0,69.0,0.0
context_destination_service_heldout,in_domain_calibration_context_holdout_test,377076,125693,545807,24,16.38932760001626,0.9929517210295947,0.7991318648606418,3847,0.9969804892510836,1.231175466822719e-05,,,,,,,,IP Protocol|Destination Port,14044.0,3511.0,0.0
context_rule_heldout_diagnostic,in_domain_calibration_context_holdout_test,284214,94739,669623,24,12.491973600001074,0.9958095824068169,0.9423276043412733,2806,0.9986291944446967,2.5730528479861146e-05,,,,,,,,Rule,54.0,14.0,0.0
