setting,experiment,split,method,target_coverage,empirical_coverage,average_set_size,singleton_rate,ambiguous_set_rate,empty_rate,coverage_Allow,coverage_Deny,coverage_Drop,avg_set_size_Allow,avg_set_size_Deny,avg_set_size_Drop,interpretation
Core all features,random_core_all,Random train/calibration/test,Probability threshold,0.95,0.9496509565316904,0.9496557248850828,0.9496557248850828,0.0,0.0503442751149173,0.9512671049851475,0.83454018826937,0.9509079850551744,0.9512733193303422,0.83454018826937,0.9509079850551744,Singleton-or-abstain view; the empty-set rate is the review/abstention signal.
Core all features,random_core_all,Random train/calibration/test,APS cumulative,0.95,1.0,1.3256928417478877,0.6743071582521124,0.3256928417478876,0.0,1.0,1.0,1.0,1.3209709292931804,1.2635771180304127,1.3459249283169694,Set-expansion view; larger class-wise set sizes mark residual ambiguity.
Transport + volume only,random_transport_volume_only,Random train/calibration/test,Probability threshold,0.95,0.9502183905853632,0.9508144347593888,0.9508144347593888,0.0,0.0491855652406111,0.983587914341466,0.9373642288196958,0.8343470327569728,0.9843336357647996,0.93881245474294,0.8343687548874794,Singleton-or-abstain view; the empty-set rate is the review/abstention signal.
Transport + volume only,random_transport_volume_only,Random train/calibration/test,APS cumulative,0.95,0.999680520322722,1.4367048770718496,0.5632951229281504,0.4367048770718496,0.0,0.9996706397046944,0.998189717595945,0.9998045008254408,1.282112628792304,1.6846488052136133,1.9622034929185852,Set-expansion view; larger class-wise set sizes mark residual ambiguity.
Temporal core all features,temporal_core_all,Temporal train/calibration/test,Probability threshold,0.95,0.9579669648476988,0.9579812699078756,0.9579812699078756,0.0,0.0420187300921245,0.9590874030254158,0.9132492113564668,0.956727424516488,0.9591065270190156,0.9132492113564668,0.956727424516488,Singleton-or-abstain view; the empty-set rate is the review/abstention signal.
Temporal core all features,temporal_core_all,Temporal train/calibration/test,APS cumulative,0.95,1.0,1.3932699460222395,0.6067300539777604,0.3932699460222396,0.0,1.0,1.0,1.0,1.2978689496465248,1.5461356466876972,1.6830388200918325,Set-expansion view; larger class-wise set sizes mark residual ambiguity.
App/category held out,context_application_category_heldout,"In-domain calibration, context-held-out test",Probability threshold,0.95,0.3155514774841453,0.3155514774841453,0.3155514774841453,0.0,0.6844485225158546,0.3332833181501527,0.0155828588552592,0.0,0.3332833181501527,0.0155828588552592,0.0,Singleton-or-abstain view; the empty-set rate is the review/abstention signal.
App/category held out,context_application_category_heldout,"In-domain calibration, context-held-out test",APS cumulative,0.95,1.0,1.734798059423809,0.2652019405761909,0.734798059423809,0.0,1.0,1.0,1.0,1.7199560580890627,1.9835181300569371,2.0,Set-expansion view; larger class-wise set sizes mark residual ambiguity.
Destination service held out,context_destination_service_heldout,"In-domain calibration, context-held-out test",Probability threshold,0.95,0.5239471095094054,0.526821752011242,0.526821752011242,0.0,0.4731782479887579,0.4625103419385243,0.4251046025104602,0.9719966056491696,0.4657946274283919,0.4255230125523012,0.9719966056491696,Singleton-or-abstain view; the empty-set rate is the review/abstention signal.
Destination service held out,context_destination_service_heldout,"In-domain calibration, context-held-out test",APS cumulative,0.95,0.996397994162772,1.6500356353069858,0.3499643646930142,0.6500356353069858,0.0,0.9958820757186992,1.0,1.0,1.6836298895114417,1.5740585774058578,1.4097466359558737,Set-expansion view; larger class-wise set sizes mark residual ambiguity.
Rule held out,context_rule_heldout_diagnostic,"In-domain calibration, context-held-out test",Probability threshold,0.95,0.5165085428666578,0.5165100362442747,0.5165100362442747,0.0,0.4834899637557252,0.4596913928154516,0.0,0.8902486444449245,0.4596913928154516,0.000253164556962,0.8902486444449245,Singleton-or-abstain view; the empty-set rate is the review/abstention signal.
Rule held out,context_rule_heldout_diagnostic,"In-domain calibration, context-held-out test",APS cumulative,0.95,0.9999895463566812,1.4049726487889451,0.5950273512110545,0.4049726487889454,0.0,0.9999912753820946,0.999493670886076,1.0,1.409320683800653,1.999493670886076,1.352692748050377,Set-expansion view; larger class-wise set sizes mark residual ambiguity.
