experiment,true_class,rows,errors,accuracy,mean_max_probability,mean_entropy_bits,mean_normalized_entropy,confident_wrong_ge_0_99,ambiguous_correct_lt_0_90
random_core_all,Allow,160918,2,0.9999875713096111,0.9999999063505488,9.567758602010998e-07,6.036583576997992e-07,2,0
random_core_all,Deny,2762,0,1.0,0.999941435633634,0.00028058430549612396,0.000177028986722688,0,1
random_core_all,Drop,46036,0,1.0,0.9999999985126182,4.1518756096185294e-08,2.619541855235964e-08,0,0
random_without_application_context,Allow,160918,3,0.9999813569644167,0.9999992097882442,5.158789118732264e-06,3.254833547408864e-06,3,0
random_without_application_context,Deny,2762,2,0.999275887038378,0.9999547061658627,0.00027147970929187494,0.00017128462608317357,2,0
random_without_application_context,Drop,46036,2,0.9999565557389869,0.9999894737807368,3.1723561533282046e-05,2.0015338860602607e-05,0,0
random_without_volume_duration,Allow,160918,51,0.9996830683950833,0.9995889540407221,0.0016255460316845056,0.0010256053571897656,24,206
random_without_volume_duration,Deny,2762,11,0.996017378711079,0.9989215234383781,0.004301687201578191,0.0027140624460332214,4,1
random_without_volume_duration,Drop,46036,0,1.0,0.9999999930094569,1.7074834599417474e-07,1.0773021186083862e-07,0,0
random_transport_volume_only,Allow,160918,987,0.993866441293081,0.9973133278474702,0.009093436160907378,0.005737319436119072,228,707
random_transport_volume_only,Deny,2762,18,0.9934829833454019,0.9946637779015173,0.021953235047006015,0.013850949178303788,5,29
random_transport_volume_only,Drop,46036,163,0.9964592927274307,0.9924559544196373,0.04034253930098184,0.025453308379615316,3,582
random_only_application_context,Allow,160918,679,0.9957804596129706,0.9108638394082137,0.2899562954778691,0.18294205405234468,41,54561
random_only_application_context,Deny,2762,233,0.9156408399710355,0.9763472289446109,0.08675266655380652,0.05473483853045996,1,6
random_only_application_context,Drop,46036,1469,0.9680901902858632,0.9880072608852565,0.030728510538686284,0.019387531581791274,0,27
random_only_zone_interface,Allow,160918,30497,0.8104811146049541,0.9584526597866853,0.1460475034628988,0.09214571536957332,0,0
random_only_zone_interface,Deny,2762,17,0.9938450398262129,0.8467309345755952,0.603193528856696,0.3805727445174531,0,2745
random_only_zone_interface,Drop,46036,0,1.0,0.9983637624662518,0.010083212934275849,0.0063617990518311926,0,0
random_only_transport_ports,Allow,160918,13050,0.9189027952124684,0.8369832694593617,0.6040826237244099,0.3811337009232414,184,77981
random_only_transport_ports,Deny,2762,250,0.9094858797972484,0.9262378626518322,0.30709467689918013,0.1937551688191061,4,322
random_only_transport_ports,Drop,46036,6335,0.8623903032409419,0.9151769483860692,0.298140753626199,0.18810587221498637,69,4274
random_only_volume_duration,Allow,160918,2810,0.9825376900036044,0.995641649168124,0.013655325184824454,0.00861555095379941,404,101
random_only_volume_duration,Deny,2762,103,0.9627081824764663,0.9833071336950711,0.06140981843540271,0.038745281612316586,6,41
random_only_volume_duration,Drop,46036,511,0.9888999913111478,0.9578386773188955,0.18454376576250986,0.11643415265568911,1,3753
temporal_core_all,Allow,156871,4,0.9999745013418669,0.9999999713657366,3.749107762349237e-07,2.3654236366118425e-07,4,0
temporal_core_all,Deny,2536,2,0.999211356466877,0.9998392138073765,0.0006294098656404079,0.0003971134114239468,1,1
temporal_core_all,Drop,50309,0,1.0,0.9999999984498967,4.351928664347186e-08,2.7457612797571327e-08,0,0
temporal_without_volume_duration,Allow,156871,77,0.9995091508309375,0.9994973726662353,0.001889170250376924,0.001191933720524841,47,241
temporal_without_volume_duration,Deny,2536,51,0.9798895899053628,0.996091397621775,0.011231181609830877,0.007086086645406879,11,4
temporal_without_volume_duration,Drop,50309,0,1.0,0.9999999932320467,1.6864321866676671e-07,1.0640202439492055e-07,0,0
temporal_transport_volume_only,Allow,156871,903,0.9942436779264491,0.9977986424975303,0.007608371734382716,0.004800348103454128,178,518
temporal_transport_volume_only,Deny,2536,29,0.988564668769716,0.9974777521247968,0.01107022436810577,0.006984533932549718,9,8
temporal_transport_volume_only,Drop,50309,220,0.9956270249855891,0.9928198196452519,0.04020918092545873,0.025369168612609825,25,535
context_application_category_heldout,Allow,186610,2423,0.9870157011950056,0.9970224667364902,0.014533645756076732,0.00916970953537635,519,1260
context_application_category_heldout,Deny,3337,3235,0.03056637698531615,0.9994362904047297,0.005569346578097011,0.0035138664640727876,3235,0
context_application_category_heldout,Drop,7314,0,1.0,0.9994757964466108,0.0041785852526116,0.0026363937637075632,0,0
context_destination_service_heldout,Allow,477425,2403,0.9949667487039849,0.9989549768928006,0.005421945346993467,0.003420866641656499,2265,685
context_destination_service_heldout,Deny,2390,1110,0.5355648535564853,0.9893571118214952,0.0685793362093813,0.04326874369467907,389,1
context_destination_service_heldout,Drop,65992,0,1.0,0.9999999975940195,7.001720362840789e-08,4.4175937031033945e-08,0,0
context_rule_heldout_diagnostic,Allow,573091,2025,0.9964665297483297,0.9986558408341945,0.008755703050093499,0.0055242335677403494,1587,1804
context_rule_heldout_diagnostic,Deny,3950,23,0.9941772151898735,0.9774745666707114,0.12495449310899769,0.07883750754490627,9,177
context_rule_heldout_diagnostic,Drop,92582,1398,0.9848998725454192,0.9989965756741381,0.0030004417337740927,0.0018930679636956049,1398,158
