experiment,confidence_band,rows,share,errors,accuracy,mean_max_probability,mean_entropy_bits,mean_normalized_entropy,rows_true_Allow,errors_true_Allow,rows_true_Deny,errors_true_Deny,rows_true_Drop,errors_true_Drop
random_core_all,p_ge_0_99,209715,0.9999952316466078,2,0.999990463247741,0.9999998602320638,1.559639297261613e-06,9.840228374816303e-07,160918,2,2761,0,46036,0
random_core_all,p_0_95_0_99,0,0.0,0,,,,,0,0,0,0,0,0
random_core_all,p_0_90_0_95,0,0.0,0,,,,,0,0,0,0,0,0
random_core_all,p_0_70_0_90,1,4.7683533922066035e-06,0,1.0,0.8524182973341993,0.6037679118825598,0.3809351398584169,0,0,1,0,0,0
random_core_all,p_lt_0_70,0,0.0,0,,,,,0,0,0,0,0,0
random_without_application_context,p_ge_0_99,209708,0.9999618531728623,5,0.9999761573235165,0.9999998523936775,1.8432321535576904e-06,1.1629500084191405e-06,160915,3,2760,2,46033,0
random_without_application_context,p_0_95_0_99,4,1.9073413568826414e-05,1,0.75,0.9816764466812253,0.13148833381900343,0.08295990205394535,2,0,1,0,1,1
random_without_application_context,p_0_90_0_95,3,1.430506017661981e-05,0,1.0,0.924479219999585,0.3844726178271021,0.24257521402062668,1,0,1,0,1,0
random_without_application_context,p_0_70_0_90,0,0.0,0,,,,,0,0,0,0,0,0
random_without_application_context,p_lt_0_70,1,4.7683533922066035e-06,1,0.0,0.5939648847600062,0.9744831460028929,0.6148304111671439,0,0,0,0,1,1
random_without_volume_duration,p_ge_0_99,209202,0.9975490663564058,28,0.9998661580673225,0.9999817932210632,0.00020220504258532947,0.00012757717768926798,160431,24,2735,4,46036,0
random_without_volume_duration,p_0_95_0_99,234,0.0011157946937763452,10,0.9572649572649573,0.9786124353308404,0.144352530871473,0.09107630673015468,219,9,15,1,0,0
random_without_volume_duration,p_0_90_0_95,62,0.0002956379103168094,13,0.7903225806451613,0.9264191682659116,0.3769373356017633,0.23782098026310225,56,12,6,1,0,0
random_without_volume_duration,p_0_70_0_90,175,0.0008344618436361556,7,0.96,0.7730865807158911,0.7631128035981456,0.48147057312140207,173,5,2,2,0,0
random_without_volume_duration,p_lt_0_70,43,0.00020503919586488395,4,0.9069767441860465,0.6270157415587894,0.9412486039157401,0.5938617497180363,39,1,4,3,0,0
random_transport_volume_only,p_ge_0_99,204201,0.9737025310419806,236,0.9988442759829775,0.9995822491988098,0.0040666439889646445,0.0025657666898203117,158748,228,2645,5,42808,3
random_transport_volume_only,p_0_95_0_99,2546,0.012140227736558012,84,0.96700706991359,0.9791875182025347,0.14602089633102455,0.09212892813841667,631,77,63,2,1852,5
random_transport_volume_only,p_0_90_0_95,982,0.004682523031146885,179,0.8177189409368636,0.9215348200082166,0.4035043907053151,0.25458292579270553,303,153,15,1,664,25
random_transport_volume_only,p_0_70_0_90,1042,0.004968624234679281,228,0.781190019193858,0.8065403880539007,0.749159710734709,0.47266715167951423,564,169,22,5,456,54
