experiment,train_rows,test_rows,features,fit_seconds,predict_seconds,accuracy,f1_macro,errors,log_loss,brier_multiclass,expected_calibration_error_10bin,mean_max_probability,median_max_probability,mean_entropy_bits,median_entropy_bits,mean_normalized_entropy,p95_entropy_bits,p99_entropy_bits,confident_wrong_ge_0_99,ambiguous_correct_lt_0_90,split_type,feature_view,train_time_min,train_time_max,test_time_min,test_time_max,grouping_columns,train_groups,test_groups,group_overlap
random_core_all,838860,209716,24,70.55275399994571,10.07534930005204,0.9999904632932156,0.9998772867242761,2,0.00011037716631759856,1.912808600175399e-05,1.0100661227176821e-05,0.9999991565110178,0.9999999996936368,4.438610631080982e-06,1.0391121915340601e-08,2.800451511667574e-06,9.530544319308272e-08,1.659228317206422e-06,2,1,random_stratified,core_all,,,,,,,,
random_without_application_context,838860,209716,19,50.631388999987394,8.409495000028983,0.9999666215262546,0.999797207515233,7,0.0003153308702153875,6.042173539481218e-05,2.9864932121503915e-05,0.999996486458376,0.9999999998306135,1.4497677159675411e-05,5.861997270835166e-09,9.147015877712555e-06,1.900988565181505e-07,3.6875303391507633e-06,5,0,random_stratified,without_application_context,,,,,,,,
random_without_volume_duration,838860,209716,17,42.901660799980164,11.703361500054598,0.9997043620896832,0.9962214229359502,62,0.0017705431608162356,0.0006567790021644934,0.00039278154847725404,0.9996703934475436,0.9999999908613738,0.0013039955794895118,2.585919380473578e-07,0.0008227296096255874,0.0002154463812103861,0.006920526458760396,28,207,random_stratified,without_volume_duration,,,,,,,,
random_transport_volume_only,838860,209716,10,52.053850000025705,6.922326999949291,0.9944305632379027,0.9833271847169834,1168,0.01754059125394117,0.00858642550294953,0.0022852572324914616,0.996212161984711,0.999998301476895,0.016122477706044004,3.547501028048767e-05,0.010172150886035661,0.05082206049808211,0.4367185643948113,236,1318,random_stratified,transport_volume_only,,,,,,,,
random_only_application_context,838860,209716,5,36.51482540008146,10.206166399992071,0.9886465505731561,0.9418291168733122,2381,0.09687006340433188,0.04791768760345623,0.0616622492472922,0.9286604771135708,0.9999999857721964,0.23037543979423752,3.916831310340155e-07,0.14535071945829445,0.9534787976813242,0.9534787976813242,42,54594,random_stratified,only_application_context,,,,,,,,
random_only_zone_interface,838860,209716,4,31.372253000037745,4.886348500032909,0.8544984645902077,0.6822523146222667,30514,0.26113236824355784,0.19318242452855144,0.11688628173376972,0.9657423855010967,0.9999995483681346,0.12222187853853435,1.0202460999726264e-05,0.07711341970735808,0.5896960458226491,0.9961599306318175,0,2745,random_stratified,only_zone_interface,,,,,,,,
random_only_transport_ports,838860,209716,3,31.997821099939756,6.6138399000046775,0.9063733811440233,0.7424605075467752,19635,0.28187860958524336,0.1488216560404959,0.05668803018547444,0.8553235267094883,0.9086653610969336,0.533012125331476,0.5117324871175228,0.33629320888598696,1.3128381442064803,1.4350451693211381,257,82577,random_stratified,only_transport_ports,,,,,,,,
random_only_volume_duration,838860,209716,7,37.63841739995405,6.964599000057206,0.9836731579850846,0.9197158667762758,3424,0.05081900297901547,0.025259635732425345,0.005448614061576708,0.9871808472083896,0.9999999583370403,0.05179699373082201,1.1215967368401428e-06,0.032680264490329854,0.34617299528000955,1.05420894633334,411,3895,random_stratified,only_volume_duration,,,,,,,,
temporal_core_all,838860,209716,24,54.72400359995663,9.23857299995143,0.9999713898796467,0.9995994589566354,6,0.0003957183671615182,5.595571246508045e-05,2.911590275027728e-05,0.999998033895105,0.999999999605165,7.90204590701029e-06,1.3271949762364712e-08,4.985635876820346e-06,8.828803444157706e-08,1.5187780038811846e-06,5,1,temporal_ordered,core_all,2026-05-14T19:18:16.047000+03:00,2026-05-14T19:55:59.138000+03:00,2026-05-14T19:55:59.139000+03:00,2026-05-14T20:04:50.373000+03:00,,,,
temporal_without_volume_duration,838860,209716,17,37.75057709997054,15.626743000000715,0.9993896507657976,0.9914947007374514,128,0.0035573224678523228,0.0011866080826279774,0.0006869503629424607,0.9995767599582526,0.9999999896247082,0.0015489842796024022,2.9814445806916407e-07,0.0009773002698156054,0.00021350478130957034,0.005085419851778944,58,245,temporal_ordered,without_volume_duration,2026-05-14T19:18:16.047000+03:00,2026-05-14T19:55:59.138000+03:00,2026-05-14T19:55:59.139000+03:00,2026-05-14T20:04:50.373000+03:00,,,,
temporal_transport_volume_only,838860,209716,10,34.8056523000123,5.281119400053285,0.994506856892178,0.9783765723337109,1152,0.017806476923792596,0.008407002120534964,0.0021400061512316174,0.9966003868715382,0.9999983271061156,0.015470878018466739,3.503682965494426e-05,0.009761037255725297,0.055622369714477135,0.4327698715747168,212,1061,temporal_ordered,transport_volume_only,2026-05-14T19:18:16.047000+03:00,2026-05-14T19:55:59.138000+03:00,2026-05-14T19:55:59.139000+03:00,2026-05-14T20:04:50.373000+03:00,,,,
context_application_category_heldout,851315,197261,24,42.623478800058365,9.699737299932167,0.971317188902013,0.6732244538211551,5658,0.17922398645325294,0.054106089816520125,0.02817884531190569,0.9971542646239628,0.9999999949725447,0.013998056973300298,1.5087276325640933e-07,0.008831790636643579,0.033880853851413,0.22957605948860282,3754,1260,group_holdout,,,,,,Application|Category,273.0,69.0,0.0
context_destination_service_heldout,502769,545807,24,19.045906700077467,18.424884199979715,0.9935636589490424,0.8059512847313336,3513,0.08736186527070765,0.012745336601098493,0.005945068937388649,0.9990392999384825,0.9999999957068499,0.0050429574765513815,1.2916439377736954e-07,0.003181751917951902,0.014211319586824991,0.14088998589503687,2654,686,group_holdout,,,,,,IP Protocol|Destination Port,14044.0,3511.0,0.0
context_rule_heldout_diagnostic,378953,669623,24,22.914991799974814,23.6802580000367,0.9948538207319642,0.9275191690024632,3446,0.034817012354588804,0.010294041805771783,0.005020921345506749,0.998578005813602,0.9999999937803199,0.008645419528686957,1.8368026385745512e-07,0.005454652412756327,0.044987618460532924,0.05109978675156336,2994,2139,group_holdout,,,,,,Rule,54.0,14.0,0.0
