setting,experiment,error_pocket,errors,mean_max_probability,mean_entropy_bits,confident_wrong_ge_0_99,confident_wrong_share_of_pair,pocket_type,interpretation
Core all features,random_core_all,Allow -> Deny,2,0.9959643826955648,0.0338751407505139,2,1.0,near-deterministic residual error,Core all features has only isolated residual errors.
Transport + volume only,random_transport_volume_only,Allow -> Drop,917,0.8070018889187981,0.5725099239513666,222,0.2420937840785169,proxy-restricted residual ambiguity,Restricting the view to transport and volume preserves much of the signal but exposes ambiguity.
Transport + volume only,random_transport_volume_only,Drop -> Deny,111,0.7351412025782652,0.7768721055159283,3,0.02702702702702703,proxy-restricted residual ambiguity,Restricting the view to transport and volume preserves much of the signal but exposes ambiguity.
Transport + volume only,random_transport_volume_only,Allow -> Deny,70,0.7862533598650824,0.79400740033034,6,0.08571428571428572,proxy-restricted residual ambiguity,Restricting the view to transport and volume preserves much of the signal but exposes ambiguity.
Transport + volume only,random_transport_volume_only,Drop -> Allow,52,0.6659328693662603,1.0111623383655934,0,0.0,proxy-restricted residual ambiguity,Restricting the view to transport and volume preserves much of the signal but exposes ambiguity.
Transport + volume only,random_transport_volume_only,Deny -> Drop,13,0.903964091437416,0.3471207422674744,5,0.38461538461538464,proxy-restricted residual ambiguity,Restricting the view to transport and volume preserves much of the signal but exposes ambiguity.
Transport + volume only,random_transport_volume_only,Deny -> Allow,5,0.5824370484962106,1.2492813169035348,0,0.0,proxy-restricted residual ambiguity,Restricting the view to transport and volume preserves much of the signal but exposes ambiguity.
Temporal core all features,temporal_core_all,Allow -> Deny,4,0.999964458673545,0.0005057074155002,4,1.0,short-window temporal residual error,"The short temporal split remains stable, with only isolated high-confidence errors."
Temporal core all features,temporal_core_all,Deny -> Allow,2,0.9470899155628664,0.2569021677886375,1,0.5,short-window temporal residual error,"The short temporal split remains stable, with only isolated high-confidence errors."
App/category held out,context_application_category_heldout,Deny -> Allow,3235,0.9996992874393924,0.0039228590046535,3235,1.0,minority-class policy-boundary failure under context shift,Unseen application/category context makes Deny records collapse into the Allow decision region despite very high confidence.
App/category held out,context_application_category_heldout,Allow -> Deny,2423,0.9145758451418192,0.3193393772926037,519,0.2141972761040033,allow-to-deny context-shift failure,Application/category shift creates a large boundary pocket that a random split hides.
Destination service held out,context_destination_service_heldout,Allow -> Deny,2403,0.9839740463550056,0.0459794451036505,2265,0.9425717852684145,allow-to-deny context-shift failure,Unseen destination-service context weakens class separation for the affected decision pair.
Destination service held out,context_destination_service_heldout,Deny -> Allow,1110,0.9778826292407554,0.1417634400486921,389,0.3504504504504504,minority-class policy-boundary failure under context shift,Unseen destination-service context weakens class separation for the affected decision pair.
Rule held out,context_rule_heldout_diagnostic,Allow -> Deny,2025,0.9652621181072047,0.1120090182998513,1587,0.7837037037037037,allow-to-deny context-shift failure,Rule-context stress exposes high-confidence residual errors tied to policy-proximal structure.
Rule held out,context_rule_heldout_diagnostic,Drop -> Allow,1398,0.9975299425637576,0.0251742066765279,1398,1.0,drop-to-allow context-shift failure,Rule-context stress exposes high-confidence residual errors tied to policy-proximal structure.
Rule held out,context_rule_heldout_diagnostic,Deny -> Allow,23,0.8776339872820825,0.3553406007441622,9,0.391304347826087,minority-class policy-boundary failure under context shift,Rule-context stress exposes high-confidence residual errors tied to policy-proximal structure.
