seed,grouping_columns,train_rows,test_rows,test_groups,group_overlap,accuracy,balanced_accuracy,f1_macro,errors,fit_seconds,precision_Allow,recall_Allow,f1_Allow,support_Allow,precision_Deny,recall_Deny,f1_Deny,support_Deny,precision_Drop,recall_Drop,f1_Drop,support_Drop,experiment
42,Application|Category,638486,197261,69,0,0.9712867723472962,0.6719280186682383,0.6725480129323816,5664,144.14929939992726,0.9827080265488615,0.9870157011950056,0.9848571535512435,186610,0.038110361254466055,0.02876835480970932,0.03278688524590164,3337,1.0,1.0,1.0,7314,application_category_heldout
7,Application|Category,555892,307386,69,0,0.9862908525437073,0.670882167557556,0.40288671632986617,4214,76.998863200075,0.986346123809028,0.9999406203197266,0.9930968504994708,303134,0.9818181818181818,0.012705882352941176,0.025087108013937282,4250,0.10526315789473684,1.0,0.19047619047619047,2,application_category_heldout
13,Application|Category,587652,265040,69,0,0.1588703591910655,0.47195417817069973,0.253210765866063,222933,59.99619169998914,0.15702326074286016,0.995202571421718,0.2712488272732919,41689,0.576271186440678,0.41910631741140214,0.4852809991079393,649,1.0,0.001553645678979084,0.003102471216957785,222702,application_category_heldout
29,Application|Category,593238,257591,69,0,0.9952676918060025,0.5045211026280269,0.507677885706446,1219,77.4589052000083,0.9953756911225694,0.9998907909465695,0.9976281324120863,256389,0.28205128205128205,0.009151414309484194,0.017727639000805803,1202,0.0,0.0,0.0,0,application_category_heldout
101,Application|Category,688200,130975,69,0,0.9991372399312846,0.9190453164402772,0.9441184463488208,113,52.67337489989586,0.999333323116063,0.9998006700552757,0.9995669419587253,130437,0.9454926624737946,0.8382899628252788,0.8886699507389163,538,0.0,0.0,0.0,0,application_category_heldout
42,IP Protocol|Destination Port,377076,545807,3511,0,0.9929517210295947,0.844665056886048,0.7991318648606418,3847,46.50867869996,0.9976879973432987,0.9942462166832486,0.9959641335581193,477425,0.3195442160019817,0.5397489539748954,0.40143146102380584,2390,1.0,1.0,1.0,65992,destination_service_heldout
7,IP Protocol|Destination Port,376931,546001,3511,0,0.9869835403231862,0.7688662855040107,0.7054147484948414,7107,28.38125360000413,0.9977181170840522,0.9872604341201744,0.9924617279157902,473878,0.07677014834072488,0.3193384223918575,0.12378251756873382,1572,1.0,1.0,1.0,70551,destination_service_heldout
13,IP Protocol|Destination Port,532722,338279,3511,0,0.9805515565553877,0.6907206490525543,0.7051030555187628,6579,90.26388800004497,0.9792881476372605,0.9977534789135781,0.9884345812875428,281769,0.4302430243024302,0.07440846824408469,0.12687458526874584,6424,1.0,1.0,1.0,50086,destination_service_heldout
29,IP Protocol|Destination Port,710490,101255,3511,0,1.0,1.0,1.0,0,345.0574253000086,1.0,1.0,1.0,70793,1.0,1.0,1.0,525,1.0,1.0,1.0,29937,destination_service_heldout
101,IP Protocol|Destination Port,605164,241690,3511,0,0.9631594190905706,0.7681571663494603,0.7503751267822535,8904,108.27446690003853,0.9820760490673479,0.9708743482767147,0.9764430734063887,190073,0.23345333702575463,0.333597150771666,0.27468230694037143,5054,1.0,1.0,1.0,46563,destination_service_heldout
42,Source Zone|Destination Zone,542343,325452,4,0,0.9999631282032373,0.9941603054884802,0.9958497780838895,12,45.88982829998713,0.9999906440919,0.9999906440919,0.9999906440919,320653,0.9940944881889764,0.9824902723735408,0.9882583170254403,514,0.9986017245397343,1.0,0.9993003731343284,4285,zone_pair_heldout
7,Source Zone|Destination Zone,727776,78207,4,0,0.9928395156443797,0.915331115814938,0.9518873896569607,560,270.47177800000645,0.9925788497217068,1.0,0.9962756052141527,74900,0.0,0.0,0.0,0,1.0,0.8306622316298761,0.9074991740997688,3307,zone_pair_heldout
13,Source Zone|Destination Zone,695805,120836,4,0,0.9999420702439671,0.9696891320921418,0.9815998665834201,7,324.98549979995005,0.9998589396967204,0.9999764871855161,0.9999177099864809,42530,0.9836065573770492,0.9090909090909091,0.9448818897637795,66,1.0,1.0,1.0,78240,zone_pair_heldout
29,Source Zone|Destination Zone,530791,340854,4,0,0.9653957412851251,0.8164293390181688,0.8336666203509848,11795,96.07330599997658,0.9770976861816264,0.9844215167897763,0.9807459287939695,302982,0.7415540540540541,0.46486650026473036,0.5714817053326514,13221,0.9025372533225936,1.0,0.9487722269263336,24651,zone_pair_heldout
101,Source Zone|Destination Zone,588783,263531,4,0,0.9888779688158129,0.8524344028070382,0.6734616725455784,2931,111.7026473999722,0.9998202045173615,0.9839698750877813,0.9918317183489537,180847,0.014685792349726777,0.5733333333333334,0.02863802863802864,75,0.9998305556564153,1.0,0.999915270649753,82609,zone_pair_heldout
42,Source Country|Destination Country,731253,73572,50,0,0.998532050236503,0.985893268879058,0.9918910278701105,108,73.02063479996286,0.9962014682786077,0.9998533670589098,0.9980240769878151,27279,0.9983093829247676,0.9578264395782644,0.9776490066225165,2466,1.0,1.0,1.0,43827,country_pair_heldout
7,Source Country|Destination Country,494416,389354,50,0,0.9999383594363997,0.9749076327268352,0.9851741393061265,24,34.75277889997233,0.9999420105761664,0.9999917153848066,0.999966862362824,362117,0.9885057471264368,0.9247311827956989,0.9555555555555556,279,1.0,1.0,1.0,26958,country_pair_heldout
13,Source Country|Destination Country,695052,121840,50,0,0.9981943532501641,0.9045138888888888,0.9431699993783195,220,45.05972160003148,0.9933884297520661,1.0,0.9966832504145937,33055,1.0,0.7135416666666666,0.8328267477203647,768,1.0,1.0,1.0,88017,country_pair_heldout
29,Source Country|Destination Country,664006,163234,50,0,0.9994976536750922,0.9997410414554734,0.9056175968503285,82,43.25359400000889,1.0,0.99922312436642,0.9996114112406407,105551,0.5591397849462365,1.0,0.7172413793103448,104,1.0,1.0,1.0,57579,country_pair_heldout
101,Source Country|Destination Country,335323,601478,50,0,0.9979849637060707,0.9927848030706504,0.7139802043824952,1212,25.005189700052142,0.9999927411305689,0.9978126007235801,0.998901481368689,552254,0.07715813598166539,0.9805825242718447,0.14305949008498584,103,1.0,0.9999592842165266,0.999979641693811,49121,country_pair_heldout
