seed,grouping_columns,train_rows,test_rows,test_groups,group_overlap,accuracy,balanced_accuracy,f1_macro,errors,fit_seconds,precision_Allow,recall_Allow,f1_Allow,support_Allow,precision_Deny,recall_Deny,f1_Deny,support_Deny,precision_Drop,recall_Drop,f1_Drop,support_Drop,experiment,variant
42,Application|Category,639399,192423,69,0,0.9865556612255292,0.9037433270067569,0.7393885865723298,2587,42.203180699958466,0.9992155313814877,0.9867598461455117,0.9929486288394811,184590,0.13333333333333333,0.7244701348747592,0.22521713087750825,519,1.0,1.0,1.0,7314,application_category_heldout,redirect_excluded
7,Application|Category,555110,304808,69,0,0.9861847458071966,0.6711946924946185,0.4034777634398315,4211,35.534050600021146,0.9862370418500251,0.9999434377848906,0.9930429467110534,300554,1.0,0.013640639698965193,0.02691415313225058,4252,0.10526315789473684,1.0,0.19047619047619047,2,application_category_heldout,redirect_excluded
13,Application|Category,585724,263989,69,0,0.15659364594736902,0.5118083954995666,0.22869115972206255,222650,34.53160079999361,0.15527429044483432,0.9950114371927775,0.2686283784671581,41094,0.3365695792880259,0.538860103626943,0.41434262948207173,193,1.0,0.001553645678979084,0.003102471216957785,222702,application_category_heldout,redirect_excluded
29,Application|Category,607581,234846,69,0,0.9945283292029671,0.5005450200622197,0.500179908302954,1285,43.99078430002555,0.9952063199877281,0.999315417231804,0.9972566358456286,233719,0.012345679012345678,0.001774622892635315,0.0031031807602792862,1127,0.0,0.0,0.0,0,application_category_heldout,redirect_excluded
101,Application|Category,686990,128968,69,0,0.9988679362322437,0.9203822027518545,0.9467968477414366,146,48.61326100002043,0.9990587686204349,0.9998053853758787,0.9994319375598216,128459,0.9391727493917275,0.7613412228796844,0.840958605664488,507,1.0,1.0,1.0,2,application_category_heldout,redirect_excluded
42,IP Protocol|Destination Port,374361,545806,3511,0,0.9933419566659216,0.8055994357023724,0.7842590326960014,3634,20.727160300011747,0.99710001993474,0.9952830287479709,0.9961906958217154,477425,0.3089904878797177,0.4215152783591461,0.35658640226628896,2389,1.0,1.0,1.0,65992,destination_service_heldout,redirect_excluded
7,IP Protocol|Destination Port,374216,546000,3511,0,0.9316556776556777,0.6825493429684641,0.6564758390538915,37316,21.6960936000105,0.9968655819501224,0.9241598048442848,0.9591368318232489,473878,0.005369053220048155,0.12348822406110757,0.010290685338425632,1571,1.0,1.0,1.0,70551,destination_service_heldout,redirect_excluded
13,IP Protocol|Destination Port,530007,338279,3511,0,0.9962811761888855,0.9418734623669875,0.9639359741976019,1258,38.90175849990919,0.9960494438451608,0.9994995900897544,0.9977715344526442,281769,0.9741189427312775,0.826120797011208,0.8940363881401617,6424,1.0,1.0,1.0,50086,destination_service_heldout,redirect_excluded
29,IP Protocol|Destination Port,707775,101255,3511,0,1.0,1.0,1.0,0,49.39748469996266,1.0,1.0,1.0,70793,1.0,1.0,1.0,525,1.0,1.0,1.0,29937,destination_service_heldout,redirect_excluded
101,IP Protocol|Destination Port,605163,238070,3511,0,0.9863443525013651,0.9659230354723655,0.8126099123549172,3251,39.39840980002191,0.9993424850856373,0.9835431649945021,0.9913798817948725,190073,0.29533678756476683,0.9142259414225942,0.4464498552698791,1434,1.0,1.0,1.0,46563,destination_service_heldout,redirect_excluded
