subset_size,fields,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max,g3_error_rate
4,Application | Outbound Interface | Source Port | Category,1048576,335501,0.3199586868286133,713075,172724,0.5148240988849512,172724,0.16472244262695312,172,1451,301,0.00028705596923828125,0.9997129440307617,1.0,7.0,9.0,31872,0.00028705596923828125
4,Application | Outbound Interface | Source Port | Destination Port,1048576,428419,0.4085721969604492,620157,264003,0.6162261711081908,264003,0.2517728805541992,350,1903,479,0.00045680999755859375,0.9995431900024414,1.0,5.0,7.0,31872,0.00045680999755859375
4,Outbound Interface | Source Port | Destination Port | Subcategory of app,1048576,415754,0.39649391174316406,632822,249745,0.6007037815631359,249745,0.2381753921508789,392,2000,521,0.0004968643188476562,0.9995031356811523,1.0,5.0,7.0,31872,0.0004968643188476562
4,Outbound Interface | Source Port | Destination Port | Category of app,1048576,403816,0.38510894775390625,644760,240321,0.5951250074291261,240321,0.2291879653930664,437,2173,566,0.0005397796630859375,0.9994602203369141,1.0,6.0,8.0,31872,0.0005397796630859375
4,Outbound Interface | Source Port | Destination Port | Technology of app,1048576,390487,0.37239742279052734,658089,226963,0.5812306171524276,226963,0.21644878387451172,556,2489,687,0.0006551742553710938,0.9993448257446289,1.0,6.0,8.0,31872,0.0006551742553710938
4,Outbound Interface | Source Port | Destination Port | Category,1048576,417645,0.3982973098754883,630931,253631,0.6072884866333849,253631,0.2418813705444336,603,2455,732,0.000698089599609375,0.9993019104003906,1.0,5.0,7.0,31872,0.000698089599609375
4,Application | Outbound Interface | Source Country | Category,1048576,1014,0.0009670257568359375,1047562,215,0.21203155818540434,215,0.00020503997802734375,18,119953,793,0.0007562637329101562,0.9992437362670898,8.0,660.7,2017.5499999999988,137484,0.0007562637329101562
4,Application | Inbound Interface | Outbound Interface | Category,1048576,461,0.00043964385986328125,1048115,66,0.14316702819956617,66,6.29425048828125e-05,16,66184,842,0.0008029937744140625,0.9991970062255859,20.0,1350.0,3337.0,199019,0.0008029937744140625
4,Application | Source Zone | Outbound Interface | Category,1048576,461,0.00043964385986328125,1048115,66,0.14316702819956617,66,6.29425048828125e-05,16,66184,842,0.0008029937744140625,0.9991970062255859,20.0,1350.0,3337.0,199019,0.0008029937744140625
4,Outbound Interface | Source Port | Destination Port | Destination Country,1048576,437701,0.41742420196533203,610875,273125,0.6239990313021903,273125,0.26047229766845703,883,2611,926,0.0008831024169921875,0.9991168975830078,1.0,5.0,7.0,28511,0.0008831024169921875
4,Outbound Interface | Source Port | Destination Port | Risk of app,1048576,400029,0.3814973831176758,648547,230454,0.57609323324059,230454,0.21977806091308594,924,3482,1057,0.0010080337524414062,0.9989919662475586,1.0,5.0,8.0,31872,0.0010080337524414062
4,Application | Outbound Interface | Source Port | Destination Country,1048576,372163,0.3549222946166992,676413,209354,0.5625330836219613,209354,0.19965553283691406,1109,3029,1152,0.0010986328125,0.9989013671875,1.0,6.0,8.0,28511,0.0010986328125
4,Outbound Interface | Source Port | Destination Port | Source Country,1048576,412509,0.3933992385864258,636067,255320,0.618944071523288,255320,0.24349212646484375,1239,3743,1254,0.0011959075927734375,0.9988040924072266,1.0,6.0,7.0,31872,0.0011959075927734375
4,Outbound Interface | Source Port | Category | Subcategory of app,1048576,313573,0.29904651641845703,735003,150783,0.480854537858808,150783,0.1437978744506836,1025,4203,1283,0.0012235641479492188,0.9987764358520508,2.0,7.0,9.0,31872,0.0012235641479492188
4,Inbound Interface | Outbound Interface | Source Port | Destination Port,1048576,400900,0.3823280334472656,647676,236891,0.5908979795460214,236891,0.22591686248779297,1270,3821,1286,0.0012264251708984375,0.9987735748291016,1.0,6.0,8.0,31872,0.0012264251708984375
4,Source Zone | Outbound Interface | Source Port | Destination Port,1048576,400900,0.3823280334472656,647676,236891,0.5908979795460214,236891,0.22591686248779297,1270,3821,1286,0.0012264251708984375,0.9987735748291016,1.0,6.0,8.0,31872,0.0012264251708984375
4,Outbound Interface | Source Port | Destination Country | Subcategory of app,1048576,354956,0.3385124206542969,693620,191204,0.5386695815819426,191204,0.18234634399414062,1269,3764,1322,0.0012607574462890625,0.9987392425537109,1.0,6.0,8.0,28511,0.0012607574462890625
4,Outbound Interface | Source Port | Category | Risk of app,1048576,288699,0.27532482147216797,759877,134055,0.4643417538682157,134055,0.12784481048583984,1167,5987,1332,0.001270294189453125,0.9987297058105469,2.0,8.0,10.0,31872,0.001270294189453125
4,Application | Outbound Interface | Destination Country | Category,1048576,1174,0.0011196136474609375,1047402,255,0.217206132879046,255,0.00024318695068359375,37,99348,1333,0.0012712478637695312,0.9987287521362305,8.0,351.5000000000002,973.0999999999976,201561,0.0012712478637695312
4,Outbound Interface | Source Port | Destination Port | SaaS of app,1048576,384718,0.3668956756591797,663858,218367,0.5676027635826761,218367,0.2082509994506836,1338,4955,1485,0.0014162063598632812,0.9985837936401367,1.0,6.0,8.0,31872,0.0014162063598632812
3,Outbound Interface | Source Port | Destination Port,1048576,375436,0.3580436706542969,673140,210308,0.5601700422974888,210308,0.20056533813476562,1420,5370,1567,0.0014944076538085938,0.9985055923461914,1.0,6.0,8.0,31872,0.0014944076538085938
3,Application | Outbound Interface | Category,1048576,400,0.0003814697265625,1048176,57,0.1425,57,5.435943603515625e-05,19,123615,1977,0.0018854141235351562,0.9981145858764648,20.0,1292.4000000000008,4921.9999999999945,222356,0.0018854141235351562
3,Application | Outbound Interface | Source Port,1048576,321371,0.30648326873779297,727205,152247,0.47374218582261624,152247,0.14519405364990234,2386,8449,2611,0.0024900436401367188,0.9975099563598633,2.0,7.0,9.0,31872,0.0024900436401367188
3,Application | Outbound Interface | Destination Port,1048576,18071,0.017233848571777344,1030505,9569,0.5295224392673344,9569,0.009125709533691406,15,230493,2807,0.0026769638061523438,0.9973230361938477,1.0,15.0,29.0,168169,0.0026769638061523438
3,Application | Destination Country | Category,1048576,1122,0.0010700225830078125,1047454,245,0.21836007130124777,245,0.00023365020751953125,41,283249,2993,0.0028543472290039062,0.9971456527709961,8.0,346.69999999999993,982.0500000000009,201561,0.0028543472290039062
3,Application | Source Port | Destination Country,1048576,363774,0.3469219207763672,684802,197321,0.5424274412135007,197321,0.18817996978759766,1605,19700,3252,0.003101348876953125,0.9968986511230469,1.0,6.0,8.0,28511,0.003101348876953125
3,Outbound Interface | Destination Port | Subcategory of app,1048576,17815,0.016989707946777344,1030761,9483,0.532304238001684,9483,0.009043693542480469,20,258581,3361,0.0032052993774414062,0.9967947006225586,1.0,15.0,28.0,168169,0.0032052993774414062
3,Application | Source Country | Category,1048576,851,0.0008115768432617188,1047725,152,0.17861339600470036,152,0.00014495849609375,23,277963,3447,0.0032873153686523438,0.9967126846313477,11.0,793.0,2908.0,138495,0.0032873153686523438
3,Outbound Interface | Destination Port | Category of app,1048576,17782,0.016958236694335938,1030794,9475,0.5328421999775054,9475,0.009036064147949219,23,272111,3477,0.0033159255981445312,0.9966840744018555,1.0,15.0,27.0,168169,0.0033159255981445312
3,Outbound Interface | Destination Port | Category,1048576,17841,0.017014503479003906,1030735,9479,0.5313042990863741,9479,0.009039878845214844,35,155835,3478,0.0033168792724609375,0.9966831207275391,1.0,15.0,28.0,168169,0.0033168792724609375
