key_id,fields,repeat,seed,frequency_preserved_exactly,cardinality_preserved_exactly,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max
K1,Application | Bytes | Outbound Interface | Source Port,0,42,True,True,1048576,835339,0.7966413497924805,213237,749012,0.8966563275508506,749012,0.7143135070800781,16,152,33,3.147125244140625e-05,0.9999685287475586,1.0,2.0,2.0,4789
K2,Application | Bytes | Destination Country | Source Port,0,42,True,True,1048576,840363,0.8014326095581055,208213,756527,0.9002383493799703,756527,0.7214803695678711,10,110,12,1.1444091796875e-05,0.9999885559082031,1.0,1.0,2.0,4778
K3,Bytes | Destination Port | Outbound Interface | Source Port,0,42,True,True,1048576,937070,0.8936595916748047,111506,887314,0.9469025793163798,887314,0.8462085723876953,16,134,23,2.193450927734375e-05,0.9999780654907227,1.0,1.0,2.0,2263
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,0,42,True,True,1048576,834942,0.7962627410888672,213634,748406,0.8963568726929535,748406,0.7137355804443359,18,169,35,3.337860107421875e-05,0.9999666213989258,1.0,2.0,2.0,4789
K5,Bytes | Category of app | Outbound Interface | Source Port,0,42,True,True,1048576,834808,0.7961349487304688,213768,748196,0.8962491974202451,748196,0.7135353088378906,35,252,59,5.626678466796875e-05,0.999943733215332,1.0,2.0,2.0,4789
K6,Bytes | Outbound Interface | Source Port | Technology of app,0,42,True,True,1048576,834433,0.7957773208618164,214143,747622,0.8959640857923884,747622,0.7129878997802734,21,206,44,4.1961669921875e-05,0.9999580383300781,1.0,2.0,2.0,4789
K7,Bytes | Outbound Interface | Risk of app | Source Port,0,42,True,True,1048576,835178,0.7964878082275391,213398,748765,0.896533433591402,748765,0.7140779495239258,18,160,35,3.337860107421875e-05,0.9999666213989258,1.0,2.0,2.0,4789
K1,Application | Bytes | Outbound Interface | Source Port,1,42,True,True,1048576,835332,0.7966346740722656,213244,749275,0.8969786863187331,749275,0.714564323425293,16,310,32,3.0517578125e-05,0.999969482421875,1.0,2.0,2.0,4801
K2,Application | Bytes | Destination Country | Source Port,1,42,True,True,1048576,840420,0.8014869689941406,208156,756887,0.9006056495561743,756887,0.7218236923217773,7,245,9,8.58306884765625e-06,0.9999914169311523,1.0,1.0,2.0,4783
K3,Bytes | Destination Port | Outbound Interface | Source Port,1,42,True,True,1048576,937161,0.8937463760375977,111415,887508,0.947017641579195,887508,0.8463935852050781,14,305,24,2.288818359375e-05,0.9999771118164062,1.0,1.0,2.0,2264
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,1,42,True,True,1048576,834898,0.7962207794189453,213678,748631,0.896673605638054,748631,0.7139501571655273,19,318,35,3.337860107421875e-05,0.9999666213989258,1.0,2.0,2.0,4801
K5,Bytes | Category of app | Outbound Interface | Source Port,1,42,True,True,1048576,834740,0.7960700988769531,213836,748374,0.8965354481635001,748374,0.7137050628662109,36,406,52,4.9591064453125e-05,0.9999504089355469,1.0,2.0,2.0,4801
K6,Bytes | Outbound Interface | Source Port | Technology of app,1,42,True,True,1048576,834374,0.7957210540771484,214202,747845,0.8962947071696865,747845,0.713200569152832,21,358,45,4.291534423828125e-05,0.9999570846557617,1.0,2.0,2.0,4801
K7,Bytes | Outbound Interface | Risk of app | Source Port,1,42,True,True,1048576,835167,0.7964773178100586,213409,749024,0.8968553594670288,749024,0.714324951171875,19,369,35,3.337860107421875e-05,0.9999666213989258,1.0,2.0,2.0,4801
K1,Application | Bytes | Outbound Interface | Source Port,2,42,True,True,1048576,835552,0.796844482421875,213024,749714,0.8972679139060166,749714,0.7149829864501953,17,146,29,2.765655517578125e-05,0.9999723434448242,1.0,2.0,2.0,4755
K2,Application | Bytes | Destination Country | Source Port,2,42,True,True,1048576,840605,0.8016633987426758,207971,757275,0.9008690169580242,757275,0.722193717956543,6,88,7,6.67572021484375e-06,0.9999933242797852,1.0,1.0,2.0,4731
K3,Bytes | Destination Port | Outbound Interface | Source Port,2,42,True,True,1048576,937161,0.8937463760375977,111415,887587,0.9471019387277106,887587,0.8464689254760742,14,254,20,1.9073486328125e-05,0.9999809265136719,1.0,1.0,2.0,2286
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,2,42,True,True,1048576,835106,0.7964191436767578,213470,749052,0.8969543986032911,749052,0.7143516540527344,19,159,32,3.0517578125e-05,0.999969482421875,1.0,2.0,2.0,4755
K5,Bytes | Category of app | Outbound Interface | Source Port,2,42,True,True,1048576,834992,0.7963104248046875,213584,748864,0.8968517063636537,748864,0.71417236328125,35,215,50,4.76837158203125e-05,0.9999523162841797,1.0,2.0,2.0,4755
K6,Bytes | Outbound Interface | Source Port | Technology of app,2,42,True,True,1048576,834613,0.7959489822387695,213963,748306,0.8965903957882276,748306,0.7136402130126953,25,213,43,4.100799560546875e-05,0.9999589920043945,1.0,2.0,2.0,4755
K7,Bytes | Outbound Interface | Risk of app | Source Port,2,42,True,True,1048576,835379,0.7966794967651367,213197,749456,0.8971448887271526,749456,0.7147369384765625,23,175,37,3.528594970703125e-05,0.999964714050293,1.0,2.0,2.0,4755
K1,Application | Bytes | Outbound Interface | Source Port,3,42,True,True,1048576,835126,0.7964382171630859,213450,748738,0.8965569267391986,748738,0.7140522003173828,22,145,34,3.24249267578125e-05,0.9999675750732422,1.0,2.0,2.0,4679
K2,Application | Bytes | Destination Country | Source Port,3,42,True,True,1048576,840185,0.8012628555297852,208391,756281,0.9001362795098699,756281,0.7212457656860352,13,141,19,1.811981201171875e-05,0.9999818801879883,1.0,1.0,2.0,4664
