context,model,true_class,predicted_class,count
application_category,lightgbm_ordinal,Allow,Allow,184187
application_category,lightgbm_ordinal,Allow,Deny,2423
application_category,lightgbm_ordinal,Allow,Drop,0
application_category,lightgbm_ordinal,Deny,Allow,3241
application_category,lightgbm_ordinal,Deny,Deny,96
application_category,lightgbm_ordinal,Deny,Drop,0
application_category,lightgbm_ordinal,Drop,Allow,0
application_category,lightgbm_ordinal,Drop,Deny,0
application_category,lightgbm_ordinal,Drop,Drop,7314
application_category,catboost_native,Allow,Allow,186456
application_category,catboost_native,Allow,Deny,154
application_category,catboost_native,Allow,Drop,0
application_category,catboost_native,Deny,Allow,0
application_category,catboost_native,Deny,Deny,3337
application_category,catboost_native,Deny,Drop,0
application_category,catboost_native,Drop,Allow,0
application_category,catboost_native,Drop,Deny,0
application_category,catboost_native,Drop,Drop,7314
