context,model,probability_state,threshold,class,support,retained_rows,queue_rows,retained_coverage,all_errors,retained_errors,captured_errors,error_capture_rate
application_category,lightgbm_ordinal,raw,0.5,Allow,186610,186610,0,1.0,2423,2423,0,0.0
application_category,lightgbm_ordinal,raw,0.5,Deny,3337,3337,0,1.0,3241,3241,0,0.0
application_category,lightgbm_ordinal,raw,0.5,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,raw,0.7,Allow,186610,186601,9,0.9999517710733615,2423,2423,0,0.0
application_category,lightgbm_ordinal,raw,0.7,Deny,3337,3319,18,0.9946059334731795,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,raw,0.7,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,raw,0.8,Allow,186610,186581,29,0.9998445956808317,2423,2423,0,0.0
application_category,lightgbm_ordinal,raw,0.8,Deny,3337,3319,18,0.9946059334731795,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,raw,0.8,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,raw,0.9,Allow,186610,185939,671,0.9964042655806227,2423,1829,594,0.2451506397028477
application_category,lightgbm_ordinal,raw,0.9,Deny,3337,3307,30,0.9910098891219659,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,raw,0.9,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,raw,0.95,Allow,186610,184702,1908,0.9897754675526499,2423,1829,594,0.2451506397028477
application_category,lightgbm_ordinal,raw,0.95,Deny,3337,3307,30,0.9910098891219659,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,raw,0.95,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,raw,0.99,Allow,186610,184506,2104,0.9887251487058571,2423,1645,778,0.3210895583986793
application_category,lightgbm_ordinal,raw,0.99,Deny,3337,3307,30,0.9910098891219659,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,raw,0.99,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,raw,0.999,Allow,186610,152587,34023,0.8176785809978029,2423,519,1904,0.7858027238959967
application_category,lightgbm_ordinal,raw,0.999,Deny,3337,2840,497,0.851063829787234,3241,2774,467,0.14409132983647022
application_category,lightgbm_ordinal,raw,0.999,Drop,7314,6877,437,0.940251572327044,0,0,0,
application_category,lightgbm_ordinal,raw,0.9999,Allow,186610,144871,41739,0.7763303145597771,2423,3,2420,0.9987618654560462
application_category,lightgbm_ordinal,raw,0.9999,Deny,3337,78,3259,0.023374288282888823,3241,19,3222,0.994137611848195
application_category,lightgbm_ordinal,raw,0.9999,Drop,7314,5804,1510,0.7935466229149576,0,0,0,
application_category,lightgbm_ordinal,temperature_scaled,0.5,Allow,186610,186610,0,1.0,2423,2423,0,0.0
application_category,lightgbm_ordinal,temperature_scaled,0.5,Deny,3337,3337,0,1.0,3241,3241,0,0.0
application_category,lightgbm_ordinal,temperature_scaled,0.5,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,temperature_scaled,0.7,Allow,186610,186581,29,0.9998445956808317,2423,2423,0,0.0
application_category,lightgbm_ordinal,temperature_scaled,0.7,Deny,3337,3319,18,0.9946059334731795,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,temperature_scaled,0.7,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,temperature_scaled,0.8,Allow,186610,185938,672,0.9963989068109962,2423,1829,594,0.2451506397028477
application_category,lightgbm_ordinal,temperature_scaled,0.8,Deny,3337,3307,30,0.9910098891219659,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,temperature_scaled,0.8,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,temperature_scaled,0.9,Allow,186610,184693,1917,0.9897272386260114,2423,1829,594,0.2451506397028477
application_category,lightgbm_ordinal,temperature_scaled,0.9,Deny,3337,3307,30,0.9910098891219659,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,temperature_scaled,0.9,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,temperature_scaled,0.95,Allow,186610,184506,2104,0.9887251487058571,2423,1645,778,0.3210895583986793
application_category,lightgbm_ordinal,temperature_scaled,0.95,Deny,3337,3307,30,0.9910098891219659,3241,3235,6,0.0018512804689910522
application_category,lightgbm_ordinal,temperature_scaled,0.95,Drop,7314,7314,0,1.0,0,0,0,
application_category,lightgbm_ordinal,temperature_scaled,0.99,Allow,186610,149613,36997,0.8017416001286105,2423,263,2160,0.8914568716467189
application_category,lightgbm_ordinal,temperature_scaled,0.99,Deny,3337,2679,658,0.8028169014084507,3241,2613,628,0.1937673557543968
application_category,lightgbm_ordinal,temperature_scaled,0.99,Drop,7314,6877,437,0.940251572327044,0,0,0,
application_category,lightgbm_ordinal,temperature_scaled,0.999,Allow,186610,144283,42327,0.7731793580193987,2423,0,2423,1.0
application_category,lightgbm_ordinal,temperature_scaled,0.999,Deny,3337,59,3278,0.017680551393467185,3241,1,3240,0.9996914532551682
application_category,lightgbm_ordinal,temperature_scaled,0.999,Drop,7314,5804,1510,0.7935466229149576,0,0,0,
application_category,lightgbm_ordinal,temperature_scaled,0.9999,Allow,186610,142965,43645,0.7661164996516799,2423,0,2423,1.0
application_category,lightgbm_ordinal,temperature_scaled,0.9999,Deny,3337,58,3279,0.017380881030866047,3241,0,3241,1.0
application_category,lightgbm_ordinal,temperature_scaled,0.9999,Drop,7314,4240,3074,0.5797101449275363,0,0,0,
application_category,catboost_native,raw,0.5,Allow,186610,186610,0,1.0,154,154,0,0.0
application_category,catboost_native,raw,0.5,Deny,3337,3337,0,1.0,0,0,0,
application_category,catboost_native,raw,0.5,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,raw,0.7,Allow,186610,186556,54,0.9997106264401694,154,127,27,0.17532467532467533
application_category,catboost_native,raw,0.7,Deny,3337,3336,1,0.9997003296373989,0,0,0,
application_category,catboost_native,raw,0.7,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,raw,0.8,Allow,186610,186491,119,0.9993623064144472,154,89,65,0.42207792207792205
application_category,catboost_native,raw,0.8,Deny,3337,3336,1,0.9997003296373989,0,0,0,
application_category,catboost_native,raw,0.8,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,raw,0.9,Allow,186610,185059,1551,0.9916885483093082,154,52,102,0.6623376623376623
application_category,catboost_native,raw,0.9,Deny,3337,3336,1,0.9997003296373989,0,0,0,
application_category,catboost_native,raw,0.9,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,raw,0.95,Allow,186610,184879,1731,0.9907239697765393,154,48,106,0.6883116883116883
application_category,catboost_native,raw,0.95,Deny,3337,207,3130,0.062031765058435724,0,0,0,
application_category,catboost_native,raw,0.95,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,raw,0.99,Allow,186610,180362,6248,0.966518407373667,154,47,107,0.6948051948051948
application_category,catboost_native,raw,0.99,Deny,3337,89,3248,0.026670662271501347,0,0,0,
application_category,catboost_native,raw,0.99,Drop,7314,5916,1398,0.8088597210828548,0,0,0,
application_category,catboost_native,raw,0.999,Allow,186610,166087,20523,0.8900219709554686,154,0,154,1.0
application_category,catboost_native,raw,0.999,Deny,3337,35,3302,0.010488462691039856,0,0,0,
application_category,catboost_native,raw,0.999,Drop,7314,0,7314,0.0,0,0,0,
application_category,catboost_native,raw,0.9999,Allow,186610,13535,173075,0.072530946894593,154,0,154,1.0
application_category,catboost_native,raw,0.9999,Deny,3337,0,3337,0.0,0,0,0,
application_category,catboost_native,raw,0.9999,Drop,7314,0,7314,0.0,0,0,0,
application_category,catboost_native,temperature_scaled,0.5,Allow,186610,186610,0,1.0,154,154,0,0.0
application_category,catboost_native,temperature_scaled,0.5,Deny,3337,3337,0,1.0,0,0,0,
application_category,catboost_native,temperature_scaled,0.5,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,temperature_scaled,0.7,Allow,186610,186588,22,0.9998821070682171,154,135,19,0.12337662337662338
application_category,catboost_native,temperature_scaled,0.7,Deny,3337,3336,1,0.9997003296373989,0,0,0,
application_category,catboost_native,temperature_scaled,0.7,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,temperature_scaled,0.8,Allow,186610,186557,53,0.9997159852097959,154,127,27,0.17532467532467533
application_category,catboost_native,temperature_scaled,0.8,Deny,3337,3336,1,0.9997003296373989,0,0,0,
application_category,catboost_native,temperature_scaled,0.8,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,temperature_scaled,0.9,Allow,186610,186507,103,0.9994480467284711,154,99,55,0.35714285714285715
application_category,catboost_native,temperature_scaled,0.9,Deny,3337,3336,1,0.9997003296373989,0,0,0,
application_category,catboost_native,temperature_scaled,0.9,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,temperature_scaled,0.95,Allow,186610,186437,173,0.9990729328546166,154,52,102,0.6623376623376623
application_category,catboost_native,temperature_scaled,0.95,Deny,3337,3336,1,0.9997003296373989,0,0,0,
application_category,catboost_native,temperature_scaled,0.95,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,temperature_scaled,0.99,Allow,186610,185005,1605,0.9913991747494775,154,48,106,0.6883116883116883
application_category,catboost_native,temperature_scaled,0.99,Deny,3337,595,2742,0.17830386574767756,0,0,0,
application_category,catboost_native,temperature_scaled,0.99,Drop,7314,7314,0,1.0,0,0,0,
application_category,catboost_native,temperature_scaled,0.999,Allow,186610,180872,5738,0.9692513798831788,154,47,107,0.6948051948051948
application_category,catboost_native,temperature_scaled,0.999,Deny,3337,89,3248,0.026670662271501347,0,0,0,
application_category,catboost_native,temperature_scaled,0.999,Drop,7314,5916,1398,0.8088597210828548,0,0,0,
application_category,catboost_native,temperature_scaled,0.9999,Allow,186610,175159,11451,0.93863672900702,154,5,149,0.9675324675324676
application_category,catboost_native,temperature_scaled,0.9999,Deny,3337,89,3248,0.026670662271501347,0,0,0,
application_category,catboost_native,temperature_scaled,0.9999,Drop,7314,5735,1579,0.7841126606508066,0,0,0,
