experiment,true_class,predicted_class,errors,mean_max_probability,mean_entropy_bits,confident_wrong_ge_0_99
random_core_all,Allow,Deny,2,0.9959643826955649,0.033875140750513996,2
random_without_application_context,Allow,Deny,1,0.9999999940024691,1.7271398577128855e-07,1
random_without_application_context,Allow,Drop,2,0.99999627054567,6.965373468472306e-05,2
random_without_application_context,Deny,Allow,2,0.9993823764830359,0.0074821173601903644,2
random_without_application_context,Drop,Allow,2,0.788526216753785,0.5491415082985804,0
random_without_volume_duration,Allow,Deny,51,0.9463780174813872,0.21851334581499895,24
random_without_volume_duration,Deny,Allow,11,0.8323783974873863,0.4295191367326004,4
random_transport_volume_only,Allow,Deny,70,0.7862533598650824,0.79400740033034,6
random_transport_volume_only,Allow,Drop,917,0.8070018889187981,0.5725099239513666,222
random_transport_volume_only,Deny,Allow,5,0.5824370484962106,1.2492813169035348,0
random_transport_volume_only,Deny,Drop,13,0.9039640914374159,0.34712074226747447,5
random_transport_volume_only,Drop,Allow,52,0.6659328693662603,1.0111623383655934,0
random_transport_volume_only,Drop,Deny,111,0.7351412025782652,0.7768721055159283,3
random_only_application_context,Allow,Deny,665,0.913601432015129,0.4064395844147418,41
random_only_application_context,Allow,Drop,14,0.8689145181751972,0.5453628737955555,0
random_only_application_context,Deny,Allow,233,0.7702775705312777,0.7622075017009158,1
random_only_application_context,Drop,Allow,1469,0.626293522221257,0.9534787976813243,0
random_only_zone_interface,Allow,Deny,30346,0.8021903404737676,0.6602952010817766,0
random_only_zone_interface,Allow,Drop,151,0.9270833627558153,0.4492916716479085,0
random_only_zone_interface,Deny,Allow,17,0.9213014353600707,0.39758762522186125,0
random_only_transport_ports,Allow,Deny,5222,0.6762707317134444,1.0135402271926728,22
random_only_transport_ports,Allow,Drop,7828,0.5757572315129573,1.138019409899597,162
random_only_transport_ports,Deny,Allow,196,0.6690013877684726,1.1334679138557848,1
random_only_transport_ports,Deny,Drop,54,0.6206424866535033,1.1091909942731017,3
random_only_transport_ports,Drop,Allow,5373,0.6973447115051946,0.9641987543545316,33
random_only_transport_ports,Drop,Deny,962,0.6786000496959972,0.982511294150409,36
random_only_volume_duration,Allow,Deny,750,0.5792710117798278,1.2059975326543277,9
random_only_volume_duration,Allow,Drop,2060,0.8232651410550711,0.5821700217109266,395
random_only_volume_duration,Deny,Allow,5,0.84733607433139,0.385114269644376,3
random_only_volume_duration,Deny,Drop,98,0.7586605418099767,0.7583201311530386,3
random_only_volume_duration,Drop,Allow,5,0.6498787233632386,0.9738078519053499,0
random_only_volume_duration,Drop,Deny,506,0.6733251348145513,1.0231010829675564,1
temporal_core_all,Allow,Deny,4,0.999964458673545,0.0005057074155002294,4
temporal_core_all,Deny,Allow,2,0.9470899155628663,0.25690216778863756,1
temporal_without_volume_duration,Allow,Deny,77,0.9354215837855827,0.20085095630182756,47
temporal_without_volume_duration,Deny,Allow,51,0.833019153144283,0.46364122644634215,11
temporal_transport_volume_only,Allow,Deny,85,0.7794973458891405,0.77241695658656,5
temporal_transport_volume_only,Allow,Drop,818,0.8114463439370821,0.5547634085946597,173
temporal_transport_volume_only,Deny,Allow,5,0.9665369040037668,0.1376377151538622,4
temporal_transport_volume_only,Deny,Drop,24,0.9139033728870452,0.37225354934553484,5
temporal_transport_volume_only,Drop,Allow,63,0.7299175589816019,0.8735211734498155,4
temporal_transport_volume_only,Drop,Deny,157,0.7847017077576732,0.6557651401244535,21
context_application_category_heldout,Allow,Deny,2423,0.9145758451418192,0.3193393772926037,519
context_application_category_heldout,Deny,Allow,3235,0.9996992874393925,0.00392285900465355,3235
context_destination_service_heldout,Allow,Deny,2403,0.9839740463550055,0.04597944510365058,2265
context_destination_service_heldout,Deny,Allow,1110,0.9778826292407554,0.14176344004869212,389
context_rule_heldout_diagnostic,Allow,Deny,2025,0.9652621181072049,0.11200901829985133,1587
context_rule_heldout_diagnostic,Deny,Allow,23,0.8776339872820825,0.3553406007441622,9
context_rule_heldout_diagnostic,Drop,Allow,1398,0.9975299425637576,0.02517420667652798,1398
