experiment,bin,lower,upper,rows,mean_confidence,empirical_accuracy
random_core_all,1,0.0,0.1,0,,
random_core_all,2,0.1,0.2,0,,
random_core_all,3,0.2,0.3,0,,
random_core_all,4,0.3,0.4,0,,
random_core_all,5,0.4,0.5,0,,
random_core_all,6,0.5,0.6,0,,
random_core_all,7,0.6,0.7,0,,
random_core_all,8,0.7,0.8,0,,
random_core_all,9,0.8,0.9,1,0.8524182973341993,1.0
random_core_all,10,0.9,1.0,209715,0.9999998602320638,0.999990463247741
random_without_application_context,1,0.0,0.1,0,,
random_without_application_context,2,0.1,0.2,0,,
random_without_application_context,3,0.2,0.3,0,,
random_without_application_context,4,0.3,0.4,0,,
random_without_application_context,5,0.4,0.5,0,,
random_without_application_context,6,0.5,0.6,1,0.5939648847600062,0.0
random_without_application_context,7,0.6,0.7,0,,
random_without_application_context,8,0.7,0.8,0,,
random_without_application_context,9,0.8,0.9,0,,
random_without_application_context,10,0.9,1.0,209715,0.9999984225697734,0.999971389743223
random_without_volume_duration,1,0.0,0.1,0,,
random_without_volume_duration,2,0.1,0.2,0,,
random_without_volume_duration,3,0.2,0.3,0,,
random_without_volume_duration,4,0.3,0.4,0,,
random_without_volume_duration,5,0.4,0.5,0,,
random_without_volume_duration,6,0.5,0.6,19,0.566953627679898,0.7894736842105263
random_without_volume_duration,7,0.6,0.7,24,0.674564915046245,1.0
random_without_volume_duration,8,0.7,0.8,143,0.7533996897318528,0.972027972027972
random_without_volume_duration,9,0.8,0.9,32,0.8610623748008122,0.90625
random_without_volume_duration,10,0.9,1.0,209498,0.9999361540622477,0.9997565609218226
random_transport_volume_only,1,0.0,0.1,0,,
random_transport_volume_only,2,0.1,0.2,0,,
random_transport_volume_only,3,0.2,0.3,0,,
random_transport_volume_only,4,0.3,0.4,2,0.3674591672076277,0.5
random_transport_volume_only,5,0.4,0.5,24,0.4835927704194707,0.5416666666666666
random_transport_volume_only,6,0.5,0.6,595,0.5783698980378241,0.42521008403361343
random_transport_volume_only,7,0.6,0.7,324,0.6515122254277116,0.7314814814814815
random_transport_volume_only,8,0.7,0.8,456,0.7472725277306126,0.8026315789473685
random_transport_volume_only,9,0.8,0.9,586,0.8526600882372102,0.764505119453925
random_transport_volume_only,10,0.9,1.0,207729,0.9989633295458886,0.9975978317904578
random_only_application_context,1,0.0,0.1,0,,
random_only_application_context,2,0.1,0.2,0,,
random_only_application_context,3,0.2,0.3,0,,
random_only_application_context,4,0.3,0.4,0,,
random_only_application_context,5,0.4,0.5,0,,
random_only_application_context,6,0.5,0.6,647,0.5260636907525713,0.990726429675425
random_only_application_context,7,0.6,0.7,10088,0.6261240967221393,0.85398493259318
random_only_application_context,8,0.7,0.8,45085,0.7705803749904232,0.9940556726183875
random_only_application_context,9,0.8,0.9,537,0.8191450195701261,0.9702048417132216
random_only_application_context,10,0.9,1.0,153359,0.9971163116657475,0.9959702397642134
random_only_zone_interface,1,0.0,0.1,0,,
random_only_zone_interface,2,0.1,0.2,0,,
random_only_zone_interface,3,0.2,0.3,0,,
random_only_zone_interface,4,0.3,0.4,0,,
random_only_zone_interface,5,0.4,0.5,0,,
random_only_zone_interface,6,0.5,0.6,5318,0.5364711053848312,0.018427980443775856
random_only_zone_interface,7,0.6,0.7,60,0.6360543991742573,0.03333333333333333
random_only_zone_interface,8,0.7,0.8,0,,
random_only_zone_interface,9,0.8,0.9,27713,0.8579064044501367,0.0954425720780861
random_only_zone_interface,10,0.9,1.0,176625,0.9956990988185952,0.9990488322717622
random_only_transport_ports,1,0.0,0.1,0,,
random_only_transport_ports,2,0.1,0.2,0,,
random_only_transport_ports,3,0.2,0.3,0,,
random_only_transport_ports,4,0.3,0.4,339,0.377386381874042,0.035398230088495575
random_only_transport_ports,5,0.4,0.5,8036,0.4750049137499425,0.42732702837232456
random_only_transport_ports,6,0.5,0.6,10083,0.5511312213648689,0.5690766636913617
random_only_transport_ports,7,0.6,0.7,25225,0.6353468616257024,0.8297720515361744
random_only_transport_ports,8,0.7,0.8,19815,0.7613363074166897,0.9116326015644713
random_only_transport_ports,9,0.8,0.9,36668,0.8499034927872537,0.9380931602487182
random_only_transport_ports,10,0.9,1.0,109550,0.9821646222048577,0.9813235965312642
random_only_volume_duration,1,0.0,0.1,0,,
